iter	Passed	Remaining
0	157	157370
1	244	122031
2	343	114030
3	435	108562
4	524	104448
5	625	103607
6	711	100942
7	817	101367
8	912	100457
9	1016	100656
10	1119	100696
11	1212	99809
12	1304	99055
13	1406	99049
14	1488	97764
15	1580	97213
16	1678	97051
17	1763	96197
18	1864	96281
19	1962	96139
20	2066	96316
21	2152	95693
22	2236	95020
23	2327	94632
24	2420	94409
25	2518	94361
26	2612	94150
27	2713	94203
28	2806	93967
29	2896	93648
30	2989	93454
31	3083	93289
32	3165	92758
33	3252	92398
34	3345	92248
35	3439	92102
36	3526	91774
37	3618	91608
38	3714	91524
39	3809	91417
40	3903	91307
41	3990	91025
42	4078	90779
43	4171	90635
44	4255	90317
45	4336	89934
46	4421	89661
47	4514	89536
48	4600	89291
49	4693	89173
50	4785	89051
51	4873	88856
52	4961	88643
53	5050	88479
54	5138	88296
55	5232	88204
56	5320	88013
57	5416	87973
58	5511	87905
59	5596	87682
60	5689	87574
61	5776	87391
62	5876	87401
63	5964	87228
64	6049	87018
65	6138	86865
66	6227	86719
67	6308	86462
68	6411	86504
69	6496	86313
70	6577	86059
71	6676	86048
72	6767	85941
73	6858	85825
74	6942	85624
75	7037	85562
76	7125	85416
77	7205	85170
78	7299	85096
79	7390	84987
80	7477	84839
81	7580	84859
82	7664	84681
83	7756	84583
84	7848	84481
85	7942	84410
86	8040	84378
87	8124	84204
88	8217	84112
89	8310	84028
90	8396	83870
91	8489	83786
92	8588	83762
93	8676	83626
94	8770	83547
95	8848	83327
96	8928	83121
97	9028	83102
98	9113	82945
99	9199	82792
100	9289	82686
101	9380	82581
102	9467	82451
103	9554	82312
104	9634	82122
105	9716	81948
106	9799	81788
107	9880	81605
108	9963	81446
109	10056	81367
110	10149	81288
111	10238	81180
112	10327	81069
113	10417	80965
114	10508	80868
115	10597	80758
116	10682	80618
117	10770	80507
118	10857	80379
119	10943	80254
120	11028	80117
121	11116	80002
122	11206	79904
123	11289	79753
124	11372	79607
125	11476	79605
126	11571	79540
127	11653	79391
128	11738	79255
129	11829	79165
130	11922	79089
131	12009	78974
132	12093	78832
133	12195	78814
134	12285	78718
135	12376	78630
136	12466	78529
137	12557	78437
138	12648	78350
139	12737	78241
140	12827	78148
141	12923	78085
142	13005	77940
143	13090	77816
144	13187	77757
145	13282	77693
146	13372	77597
147	13456	77467
148	13541	77342
149	13626	77218
150	13713	77104
151	13812	77058
152	13903	76967
153	13994	76878
154	14075	76734
155	14158	76603
156	14248	76508
157	14332	76377
158	14418	76264
159	14516	76210
160	14602	76095
161	14682	75952
162	14770	75847
163	14858	75742
164	14943	75624
165	15022	75473
166	15116	75400
167	15210	75328
168	15307	75271
169	15402	75198
170	15485	75071
171	15581	75010
172	15674	74930
173	15761	74821
174	15848	74715
175	15939	74625
176	16030	74538
177	16124	74464
178	16207	74339
179	16298	74248
180	16390	74162
181	16483	74084
182	16583	74037
183	16674	73946
184	16752	73800
185	16841	73704
186	16933	73618
187	17016	73496
188	17109	73416
189	17195	73308
190	17279	73191
191	17365	73080
192	17446	72950
193	17533	72846
194	17641	72828
195	17728	72721
196	17807	72586
197	17894	72481
198	17977	72362
199	18078	72314
200	18166	72214
201	18247	72087
202	18338	71999
203	18438	71947
204	18527	71852
205	18609	71726
206	18701	71642
207	18789	71543
208	18874	71434
209	18956	71314
210	19045	71218
211	19129	71105
212	19224	71032
213	19310	70926
214	19403	70845
215	19500	70778
216	19584	70668
217	19665	70544
218	19748	70428
219	19835	70327
220	19919	70213
221	20002	70098
222	20090	70002
223	20181	69914
224	20264	69799
225	20346	69681
226	20429	69569
227	20520	69480
228	20605	69374
229	20691	69270
230	20777	69169
231	20868	69082
232	20953	68976
233	21035	68859
234	21124	68766
235	21209	68661
236	21296	68563
237	21386	68471
238	21476	68381
239	21576	68326
240	21667	68238
241	21762	68165
242	21846	68056
243	21925	67931
244	22012	67835
245	22101	67741
246	22179	67614
247	22269	67527
248	22362	67447
249	22449	67347
250	22539	67259
251	22622	67150
252	22718	67076
253	22800	66965
254	22882	66854
255	22973	66766
256	23066	66686
257	23153	66589
258	23236	66479
259	23322	66379
260	23402	66262
261	23492	66174
262	23583	66088
263	23681	66020
264	23760	65902
265	23851	65815
266	23934	65708
267	24025	65622
268	24117	65539
269	24215	65470
270	24295	65354
271	24385	65266
272	24465	65152
273	24549	65046
274	24634	64944
275	24719	64843
276	24804	64741
277	24889	64640
278	24977	64547
279	25060	64440
280	25144	64336
281	25231	64242
282	25313	64133
283	25394	64023
284	25487	63943
285	25574	63846
286	25667	63766
287	25749	63658
288	25844	63581
289	25925	63473
290	26020	63398
291	26108	63304
292	26193	63203
293	26284	63118
294	26367	63012
295	26454	62918
296	26540	62821
297	26636	62748
298	26725	62658
299	26811	62560
300	26895	62457
301	26993	62387
302	27078	62289
303	27160	62182
304	27249	62093
305	27335	61996
306	27429	61917
307	27519	61830
308	27606	61734
309	27688	61629
310	27776	61537
311	27864	61443
312	27964	61377
313	28046	61273
314	28133	61178
315	28221	61088
316	28314	61005
317	28399	60907
318	28486	60812
319	28565	60701
320	28648	60599
321	28737	60509
322	28816	60397
323	28898	60294
324	28987	60205
325	29066	60094
326	29156	60006
327	29242	59911
328	29326	59810
329	29424	59740
330	29508	59641
331	29604	59566
332	29692	59473
333	29773	59368
334	29857	59269
335	29938	59164
336	30023	59067
337	30114	58982
338	30210	58906
339	30296	58810
340	30381	58714
341	30467	58618
342	30570	58555
343	30659	58467
344	30757	58394
345	30837	58287
346	30935	58215
347	31014	58108
348	31109	58029
349	31196	57936
350	31285	57847
351	31370	57749
352	31463	57668
353	31571	57613
354	31667	57537
355	31758	57450
356	31850	57366
357	31930	57261
358	32027	57184
359	32123	57108
360	32204	57003
361	32291	56911
362	32378	56819
363	32471	56735
364	32560	56646
365	32648	56554
366	32734	56460
367	32821	56368
368	32917	56289
369	33008	56204
370	33094	56108
371	33183	56020
372	33266	55919
373	33356	55832
374	33439	55732
375	33531	55647
376	33616	55551
