iter	Passed	Remaining
377	33704	55461
378	33796	55376
379	33884	55285
380	33974	55197
381	34061	55104
382	34144	55004
383	34230	54911
384	34318	54820
385	34404	54725
386	34483	54621
387	34561	54514
388	34648	54421
389	34726	54316
390	34815	54226
391	34902	54133
392	34993	54048
393	35079	53955
394	35164	53859
395	35247	53761
396	35337	53673
397	35430	53591
398	35525	53511
399	35608	53413
400	35690	53313
401	35782	53229
402	35875	53146
403	35961	53051
404	36038	52945
405	36122	52849
406	36213	52762
407	36299	52669
408	36384	52574
409	36476	52490
410	36563	52398
411	36660	52321
412	36742	52223
413	36832	52135
414	36921	52046
415	37009	51955
416	37105	51876
417	37198	51793
418	37288	51706
419	37374	51612
420	37460	51519
421	37556	51439
422	37648	51355
423	37732	51259
424	37812	51158
425	37899	51066
426	37990	50980
427	38082	50895
428	38172	50807
429	38262	50719
430	38348	50627
431	38436	50536
432	38520	50441
433	38602	50343
434	38690	50253
435	38769	50151
436	38856	50059
437	38952	49980
438	39044	49894
439	39137	49811
440	39235	49734
441	39315	49633
442	39398	49537
443	39483	49443
444	39563	49343
445	39653	49256
446	39739	49163
447	39823	49067
448	39913	48980
449	40001	48891
450	40085	48796
451	40169	48701
452	40259	48613
453	40339	48513
454	40424	48420
455	40513	48331
456	40591	48230
457	40673	48133
458	40762	48044
459	40845	47948
460	40927	47852
461	41016	47764
462	41102	47671
463	41186	47577
464	41272	47485
465	41357	47392
466	41451	47309
467	41539	47220
468	41619	47121
469	41703	47027
470	41789	46935
471	41866	46833
472	41956	46746
473	42034	46645
474	42120	46554
475	42207	46463
476	42313	46393
477	42400	46303
478	42479	46204
479	42557	46103
480	42638	46007
481	42721	45912
482	42807	45821
483	42888	45724
484	42975	45634
485	43064	45545
486	43152	45456
487	43228	45354
488	43313	45261
489	43402	45173
490	43485	45079
491	43573	44990
492	43653	44893
493	43738	44800
494	43817	44702
495	43908	44616
496	43992	44523
497	44080	44434
498	44173	44350
499	44258	44258
500	44351	44174
501	44444	44090
502	44539	44008
503	44625	43917
504	44714	43829
505	44804	43742
506	44887	43648
507	44973	43556
508	45063	43469
509	45150	43379
510	45235	43288
511	45316	43192
512	45403	43102
513	45495	43017
514	45580	42925
515	45670	42837
516	45759	42750
517	45841	42655
518	45930	42568
519	46012	42473
520	46110	42393
521	46205	42310
522	46287	42216
523	46364	42117
524	46454	42030
525	46543	41942
526	46639	41860
527	46723	41768
528	46804	41672
529	46888	41580
530	46968	41484
531	47048	41388
532	47124	41289
533	47210	41198
534	47301	41112
535	47388	41022
536	47478	40935
537	47568	40848
538	47653	40757
539	47743	40670
540	47846	40594
541	47930	40501
542	48025	40419
543	48117	40334
544	48201	40241
545	48290	40153
546	48373	40060
547	48460	39970
548	48543	39878
549	48640	39796
550	48734	39712
551	48827	39628
552	48916	39539
553	48996	39444
554	49072	39346
555	49153	39252
556	49245	39166
557	49331	39075
558	49427	38993
559	49522	38910
560	49612	38823
561	49695	38730
562	49777	38637
563	49865	38548
564	49952	38458
565	50034	38365
566	50121	38276
567	50206	38185
568	50290	38093
569	50372	38000
570	50453	37906
571	50540	37817
572	50619	37721
573	50707	37633
574	50797	37545
575	50880	37453
576	50970	37366
577	51054	37274
578	51148	37190
579	51237	37103
580	51333	37020
581	51419	36929
582	51505	36840
583	51591	36750
584	51674	36657
585	51753	36563
586	51838	36472
587	51931	36387
588	52027	36304
589	52119	36218
590	52207	36129
591	52292	36039
592	52390	35957
593	52472	35864
594	52550	35769
595	52631	35676
596	52720	35588
597	52807	35499
598	52894	35410
599	52987	35324
600	53066	35230
601	53157	35144
602	53252	35060
603	53342	34972
604	53429	34883
605	53513	34792
606	53593	34698
607	53683	34611
608	53762	34517
609	53853	34430
610	53938	34340
611	54029	34253
612	54114	34163
613	54201	34074
614	54293	33988
615	54378	33897
616	54464	33808
617	54542	33714
618	54631	33626
619	54710	33532
620	54796	33442
621	54883	33353
622	54970	33264
623	55052	33172
624	55140	33084
625	55232	32998
626	55318	32909
627	55406	32820
628	55491	32730
629	55572	32638
630	55663	32550
631	55750	32462
632	55840	32374
633	55927	32286
634	56013	32196
635	56106	32111
636	56197	32024
637	56284	31935
638	56372	31847
639	56458	31757
640	56538	31665
641	56622	31574
642	56707	31484
643	56802	31400
644	56891	31312
645	56978	31223
646	57063	31133
647	57154	31047
648	57234	30954
649	57313	30861
650	57405	30774
651	57496	30688
652	57578	30597
653	57668	30509
654	57741	30413
655	57826	30323
656	57911	30233
657	57998	30144
658	58080	30053
659	58163	29963
660	58252	29875
661	58346	29790
662	58430	29699
663	58518	29611
664	58603	29522
665	58694	29435
666	58779	29345
667	58860	29254
668	58939	29161
669	59022	29070
670	59111	28983
671	59202	28896
672	59284	28805
673	59360	28711
674	59451	28624
675	59548	28540
676	59625	28447
677	59705	28355
678	59787	28264
679	59868	28173
680	59952	28083
681	60037	27994
682	60120	27903
683	60210	27816
684	60299	27728
685	60385	27639
686	60466	27548
687	60555	27461
688	60649	27375
689	60738	27288
690	60821	27198
691	60899	27105
692	60975	27012
693	61060	26923
694	61146	26834
695	61237	26747
696	61322	26657
697	61405	26568
698	61484	26476
699	61564	26384
700	61659	26299
701	61741	26209
702	61832	26122
703	61926	26037
704	62012	25948
705	62105	25862
706	62188	25772
707	62276	25684
708	62368	25598
709	62454	25509
710	62538	25420
711	62622	25330
712	62708	25241
713	62788	25150
714	62876	25062
715	62956	24971
716	63047	24884
717	63128	24794
718	63216	24706
719	63297	24615
720	63397	24532
721	63476	24441
722	63557	24350
723	63644	24262
724	63736	24176
725	63824	24088
726	63913	24000
727	63988	23907
728	64069	23817
729	64155	23728
730	64235	23637
731	64314	23546
732	64400	23458
733	64483	23368
734	64566	23279
735	64647	23188
736	64738	23102
737	64819	23011
738	64898	22920
739	64980	22831
740	65060	22740
741	65142	22650
742	65220	22559
743	65299	22468
744	65403	22386
745	65498	22301
746	65580	22211
747	65676	22126
748	65764	22038
749	65852	21950
750	65936	21861
751	66028	21775
752	66113	21686
753	66196	21597
754	66283	21509
755	66369	21420
756	66469	21336
757	66563	21251
758	66649	21162
759	66734	21074
760	66817	20984
761	66897	20894
762	66978	20804
763	67062	20715
764	67153	20628
765	67241	20541
766	67318	20450
767	67397	20359
768	67487	20272
769	67575	20184
770	67662	20096
771	67746	20008
772	67832	19919
773	67927	19834
774	68017	19747
775	68100	19657
776	68186	19569
777	68281	19483
778	68362	19394
779	68449	19306
780	68534	19217
781	68627	19131
782	68718	19044
783	68806	18956
784	68892	18868
785	68985	18782
786	69071	18694
787	69170	18609
788	69259	18521
789	69340	18432
790	69426	18343
791	69517	18257
792	69604	18169
793	69701	18083
794	69785	17995
795	69877	17908
796	69958	17818
797	70044	17730
798	70138	17644
799	70221	17555
800	70313	17468
801	70396	17379
802	70486	17292
803	70569	17203
804	70647	17113
805	70726	17023
806	70817	16936
807	70902	16848
808	70986	16759
809	71072	16671
810	71151	16581
811	71229	16491
812	71318	16404
813	71412	16317
814	71494	16228
815	71574	16139
816	71665	16052
817	71745	15962
818	71826	15873
819	71912	15785
820	72003	15698
821	72091	15611
822	72170	15521
823	72262	15434
824	72349	15346
825	72427	15257
826	72505	15167
827	72604	15082
828	72689	14993
829	72776	14905
830	72869	14819
831	72964	14733
832	73056	14646
833	73147	14559
834	73232	14471
835	73314	14382
836	73395	14293
837	73483	14205
838	73571	14118
839	73654	14029
840	73747	13942
841	73833	13854
842	73924	13767
843	74011	13679
844	74094	13591
845	74181	13503
846	74263	13414
847	74355	13327
848	74438	13239
849	74520	13150
850	74606	13062
851	74685	12973
852	74771	12885
853	74850	12796
854	74937	12708
855	75021	12620
856	75108	12532
857	75200	12445
858	75283	12357
859	75367	12269
860	75452	12181
861	75538	12093
862	75623	12005
863	75701	11915
864	75785	11827
865	75869	11739
866	75952	11651
867	76036	11563
868	76128	11476
869	76214	11388
870	76298	11300
871	76384	11212
872	76467	11124
873	76550	11035
874	76632	10947
875	76712	10858
876	76792	10770
877	76882	10682
878	76964	10594
879	77057	10507
880	77137	10419
881	77222	10331
882	77309	10243
883	77389	10155
884	77474	10067
885	77558	9979
886	77645	9891
887	77742	9805
888	77836	9718
889	77916	9630
890	78003	9542
891	78086	9454
892	78170	9366
893	78262	9279
894	78353	9192
895	78434	9104
896	78519	9016
897	78595	8927
898	78687	8840
899	78779	8753
900	78860	8665
901	78947	8577
902	79033	8489
903	79118	8401
904	79198	8313
905	79282	8225
906	79368	8138
907	79452	8050
908	79537	7962
909	79619	7874
910	79699	7786
911	79783	7698
912	79876	7611
913	79967	7524
914	80046	7435
915	80134	7348
916	80217	7260
917	80307	7173
918	80386	7085
919	80473	6997
920	80561	6910
921	80645	6822
922	80727	6734
923	80811	6646
924	80899	6559
925	80991	6472
926	81081	6385
927	81162	6297
928	81244	6209
929	81330	6121
930	81417	6034
931	81497	5946
932	81590	5859
933	81674	5771
934	81758	5683
935	81836	5595
936	81926	5508
937	82014	5420
938	82108	5334
939	82196	5246
940	82279	5158
941	82361	5071
942	82444	4983
943	82531	4895
944	82618	4808
945	82706	4721
946	82797	4633
947	82891	4546
948	82976	4459
949	83063	4371
950	83150	4284
951	83232	4196
952	83321	4109
953	83408	4021
954	83487	3933
955	83570	3846
956	83651	3758
957	83741	3671
958	83817	3583
959	83901	3495
960	83980	3408
961	84059	3320
962	84145	3233
963	84234	3145
964	84324	3058
965	84415	2971
966	84511	2884
967	84599	2796
968	84696	2709
969	84770	2621
970	84852	2534
971	84933	2446
972	85024	2359
973	85120	2272
974	85206	2184
975	85289	2097
976	85374	2009
977	85462	1922
978	85552	1835
979	85652	1748
980	85732	1660
981	85816	1573
982	85894	1485
983	85978	1398
984	86072	1310
985	86151	1223
986	86240	1135
987	86318	1048
988	86399	960
989	86478	873
990	86562	786
991	86655	698
992	86745	611
993	86833	524
994	86911	436
995	86997	349
996	87083	262
997	87169	174
998	87255	87
999	87341	0
