iter	Logloss
0	0.4670518345
1	0.34720694
2	0.2777246195
3	0.2456656458
4	0.222654242
5	0.2036223026
6	0.1959709153
7	0.1877860117
8	0.182455618
9	0.1775302673
10	0.1749639023
11	0.1721761295
12	0.1704211679
13	0.1687085001
14	0.1663323274
15	0.164237099
16	0.1635199227
17	0.1626027409
18	0.159675849
19	0.1590626203
20	0.1579944132
21	0.1574531396
22	0.1571308546
23	0.1566020863
24	0.1561492488
25	0.1544683348
26	0.1537648484
27	0.1533498691
28	0.1531161763
29	0.1510652219
30	0.1507473449
31	0.1503375445
32	0.1500622657
33	0.1498052013
34	0.1492378214
35	0.1489594407
36	0.1488036809
37	0.1485724606
38	0.1483270206
39	0.1481089776
40	0.1467113211
41	0.1465402636
42	0.1463059233
43	0.1461412715
44	0.1451644555
45	0.1449847598
46	0.1447970026
47	0.1446407855
48	0.1445406452
49	0.1444019959
50	0.1442719509
51	0.1441681603
52	0.1439989274
53	0.1438788587
54	0.1437081017
55	0.1436060097
56	0.1435015004
57	0.1433165542
58	0.1430938289
59	0.1429249667
60	0.1428072499
61	0.1427221679
62	0.1422291225
63	0.1421004882
64	0.1420320306
65	0.1419302222
66	0.141837106
67	0.1417716072
68	0.1416386552
69	0.1414410622
70	0.1413688088
71	0.1409681095
72	0.1408464576
73	0.1407744202
74	0.1406531609
75	0.1405106263
76	0.1403612766
77	0.1403035172
78	0.1401830408
79	0.13995742
80	0.1398503859
81	0.1397706525
82	0.1397055692
83	0.1391723943
84	0.1390798289
85	0.1389902664
86	0.1388986757
87	0.1388436327
88	0.1387486307
89	0.1386457677
90	0.1385835042
91	0.1384648769
92	0.1383626137
93	0.1382953621
94	0.1382054397
95	0.1381262621
96	0.1380612295
97	0.1379730457
98	0.1379017331
99	0.1378060059
100	0.1377378522
101	0.1376604482
102	0.1375782422
103	0.1375140417
104	0.1374400399
105	0.1373798466
106	0.1371637543
107	0.1370894403
108	0.1370230794
109	0.1369310757
110	0.1368536318
111	0.1367955272
112	0.1367383238
113	0.1366465979
114	0.13657061
115	0.1363862221
116	0.136344451
117	0.1362853648
118	0.1362246517
119	0.1361556588
120	0.1360957766
121	0.1360568898
122	0.1359008959
123	0.1358514223
124	0.1357838157
125	0.1357251944
126	0.1356671745
127	0.1356037189
128	0.1355668878
129	0.13553184
130	0.1354725522
131	0.1354134988
132	0.1353675312
133	0.1352943186
134	0.135228152
135	0.1351792802
136	0.1351354649
137	0.1350803615
138	0.1350251669
139	0.1349732411
140	0.1346468223
141	0.134594597
142	0.1345498861
143	0.1345006419
144	0.1344281597
145	0.1343759054
146	0.134329222
147	0.1341533661
148	0.1341110374
149	0.1340723205
150	0.1340338381
151	0.1339780543
152	0.1339238736
153	0.1337982902
154	0.133768014
155	0.13372311
156	0.1336727041
157	0.1336321222
158	0.1335901515
159	0.1335313638
160	0.1334937221
161	0.1334630795
162	0.1334096106
163	0.1333629503
164	0.1333109403
165	0.1332791043
166	0.133231377
167	0.1331899103
168	0.1331425054
169	0.1330994088
170	0.1330580317
171	0.1329896313
172	0.1329482076
173	0.1329005744
174	0.1328673504
175	0.1328279838
176	0.1327856345
177	0.1327179106
178	0.1326741024
179	0.132626567
180	0.1325781067
181	0.1325274281
182	0.1324782753
183	0.1324276745
184	0.1323880871
185	0.132353338
186	0.1322960198
187	0.132266648
188	0.1322256778
189	0.1321854721
190	0.1321455956
191	0.1321039862
192	0.1320661334
193	0.1320305995
194	0.1317180989
195	0.131679977
196	0.1316456708
197	0.1315966029
198	0.1315631147
199	0.1315250854
200	0.1314973678
201	0.1314490563
202	0.1314131505
203	0.1313757191
204	0.131302542
205	0.1312709821
206	0.1312183876
207	0.1311788834
208	0.1311447697
209	0.131113478
210	0.1310766917
211	0.1310499184
212	0.1310128452
213	0.1309822411
214	0.1309328223
215	0.1308977446
216	0.1308267976
217	0.1307896167
218	0.1307461102
219	0.1307143966
220	0.1306666867
221	0.1306246271
222	0.1305921958
223	0.1305515762
224	0.1305198551
225	0.1304794132
226	0.1304427474
227	0.1304076391
228	0.130353576
229	0.1303152117
230	0.1302857474
231	0.1302494938
232	0.1302165158
233	0.1301950138
234	0.1301638086
235	0.1301301237
236	0.1301027077
237	0.130071523
238	0.1300365985
239	0.1299913299
240	0.1299556662
241	0.1298922933
242	0.1298360004
243	0.1298091422
244	0.1297769731
245	0.1297464976
246	0.1297203468
247	0.129686429
248	0.1296500873
249	0.1296196739
250	0.1295848341
251	0.1295502218
252	0.1295016474
253	0.1294725827
254	0.1294210906
255	0.1293893786
256	0.1293425146
257	0.1293093243
258	0.1292654048
259	0.1292330159
260	0.1292048451
261	0.1291684713
262	0.1291419781
263	0.1291118922
264	0.1290839562
265	0.129058355
266	0.1290307125
267	0.1289894423
268	0.1289518273
269	0.1289190811
270	0.1288913929
271	0.1288596471
272	0.1288305754
273	0.1287990519
274	0.1287658775
275	0.1287295992
276	0.1287007747
277	0.1286681981
278	0.1286323834
279	0.1285986355
280	0.1285643358
281	0.1285328701
282	0.1285003499
283	0.1284744877
284	0.1284438184
285	0.1284125617
286	0.1283815591
287	0.1283528548
288	0.1283230383
289	0.1282958976
290	0.1282346449
291	0.1281940024
292	0.1281655681
293	0.1281285211
294	0.128097572
295	0.1280632348
296	0.1280325945
297	0.1279952451
298	0.1279615291
299	0.1279336156
300	0.1279055652
301	0.1278746757
302	0.1278400786
303	0.1278164426
304	0.1277910624
305	0.1277592874
306	0.1277287129
307	0.1277084788
308	0.1276824611
309	0.1276664752
310	0.1276338028
311	0.1276075661
312	0.1275704875
313	0.1275354511
314	0.1275046593
315	0.1274748561
316	0.1274396436
317	0.1274066205
318	0.127379989
319	0.1273498442
320	0.1273198846
321	0.1272802089
322	0.1272536134
323	0.1272343293
324	0.12720352
325	0.1271785445
326	0.1271500753
327	0.1271183444
328	0.1270917316
329	0.1270507928
330	0.1270243878
331	0.1269761783
332	0.1269509081
333	0.1269272162
334	0.126902733
335	0.1268760229
336	0.1268466134
337	0.1268180425
338	0.1267869212
339	0.1267616615
340	0.1267357631
341	0.1267100895
342	0.1266703865
343	0.1266383951
344	0.126615886
345	0.1265885252
346	0.1265479119
347	0.126527231
348	0.126479651
349	0.1264533442
350	0.1264195314
351	0.1263980483
352	0.1263689564
353	0.1262679712
354	0.1262099514
355	0.1261825726
356	0.1261584722
357	0.1261290146
358	0.1259431108
359	0.1259125001
360	0.1258942321
361	0.1258598681
362	0.1258353823
363	0.1258049399
364	0.1257756092
365	0.1257475317
366	0.125713028
367	0.1256915191
368	0.1256650804
369	0.1256357572
370	0.1256146393
371	0.1255930009
372	0.1255675201
373	0.1255378199
374	0.125514865
375	0.1254860263
376	0.1254541183
377	0.125427554
378	0.1253997417
379	0.1253779413
380	0.1253426336
381	0.1253075422
382	0.1252800685
383	0.1252535151
384	0.1252262668
385	0.1252027797
386	0.1251845459
387	0.1251622962
388	0.1251337467
389	0.1251079477
390	0.1250777432
391	0.1250520617
392	0.1250196256
393	0.124998361
394	0.1249736733
395	0.1249500389
396	0.1249175506
397	0.1248796342
398	0.1248524738
399	0.1248302092
400	0.1248022365
401	0.1247800587
402	0.1247534377
403	0.1247264964
404	0.1247059409
405	0.1246822088
406	0.1246665783
407	0.1246371295
408	0.1246070016
409	0.1245818267
410	0.1245471863
411	0.1244251619
412	0.1244022333
413	0.1243724644
414	0.1243432721
415	0.1243176686
416	0.1242877051
417	0.1242605087
418	0.1242308805
419	0.1242039667
420	0.124170901
421	0.1241426363
422	0.1241184198
423	0.1240917053
424	0.1240632603
425	0.1240382706
426	0.1240084235
427	0.1239772871
428	0.12395036
429	0.1239258453
430	0.1239035759
431	0.1238812705
432	0.1238589764
433	0.1238375224
434	0.1237981756
435	0.123771493
436	0.123743416
437	0.1237107884
438	0.123684633
439	0.123661591
440	0.1236311606
441	0.1236124036
442	0.1235886745
443	0.1235594726
444	0.1235310017
445	0.1235064018
446	0.1234766815
447	0.1234597976
448	0.1234321845
449	0.1234030607
450	0.1233838678
451	0.1233619736
452	0.1233308463
453	0.1233122604
454	0.1232930369
455	0.1232672505
456	0.1232486947
457	0.1232265421
458	0.1232129065
459	0.1231910424
460	0.1231638206
461	0.1231403509
462	0.1231202142
463	0.1231018988
464	0.1230796296
465	0.1230559305
466	0.1230289383
467	0.1230089542
468	0.1229922996
469	0.1229685556
470	0.1229450365
471	0.1229249425
472	0.1228987628
473	0.1228723084
474	0.1228459124
475	0.122827219
476	0.1227895611
477	0.1227665713
478	0.1227435752
479	0.1227231038
480	0.1227036948
481	0.1226844732
482	0.1226607727
483	0.1226419264
484	0.1226193194
485	0.1225931517
486	0.122566559
487	0.1225525409
488	0.1225261277
489	0.1224908841
490	0.1224668991
491	0.1224453372
492	0.1224236713
493	0.1223998094
494	0.122375109
495	0.1223505466
496	0.122323019
497	0.1222976767
498	0.1222685728
499	0.1222505931
500	0.1222249928
501	0.1222024737
502	0.1221674337
